HS_CEEB,HS_CITY,HS_NAME,HS_POSTAL_CD,HS_STATE
231905,Haslett,haslett high school,48840,MI
233049,Auburn Hills,oakland christian school,48326,MI
233063,Waterford,waterford mott high school,48328,MI
241490,Maple Lake,maple lake high school,55358,MN
262525,Ozark,ozark high school,65721,MO
263675,Wright City,wright city high school,63390,MO
311616,Denville,morris catholic high school,07834,NJ
320648,Shiprock,shiprock high school,87420,NM
332904,Long Island City,information technology hs,11101,NY
344472,Wilmington,coastal christian high school,28409,NC
351060,Leeds,leeds high school,58346,ND
361508,Columbus,bishop hartley high school,43227,OH
364075,Peninsula,woodridge high school,44264,OH
380907,Portland,portland adventist academy,97216,OR
441870,Decatur,decatur high school,76234,TX
443531,Richmond,george bush high school,77469,TX
443700,Joshua,joshua high school,76058,TX
444917,Sugar Land,logos preparatory academy,77478,TX
445943,Rockwall,heritage christian academy,75087,TX
447215,Van Vleck,van vleck high school,77482,TX
470325,Broadway,broadway high school,22815,VA
470549,Clifton,centreville high school,20124,VA
471872,Richmond,mills e godwin high school,23238,VA
501822,Pleasant Prairie,lakeview technology academy,53158,WI
510210,Jackson,jackson hole high school,83001,WY
862150,Miami,escuela internacional sampdrna,33126,FL
010980,Enterprise,enterprise high school,36330,AL
030034,Glendale,raymond s kellis high school,85305,AZ
030497,Tucson,mountain view high school,85742,AZ
051788,Los Angeles,foshay learning center,90018,CA
052037,Montebello,schurr high school,90640,CA
052379,Oxnard,pacifica high school,93030,CA
053430,Stockton,lincoln high school,95207,CA
060006,Peyton,pikes peak early college,80831-8173,CO
060104,Black Hawk,gilpin county high school,80403,CO
060413,Denver,george washington high school,80224,CO
060818,Julesburg,julesburg high school,80737,CO
070130,Danbury,wooster school,06810,CT
070155,Derby,derby high school,06418,CT
100325,Crestview,crestview senior high school,32536,FL
100905,Lake Wales,lake wales high school,33859,FL
101532,Plantation,david posnack hebrew day sch,33313,FL
101843,Pembroke Pines,somerset academy high school,33029,FL
101846,Miami,john a ferguson senior hs,33185,FL
110179,Atlanta,howard school,30318,GA
111258,Evans,greenbrier high school,30809,GA
113303,Woodstock,river ridge high school,30188,GA
120183,"Kula, Maui",haleakala waldorf high school,96790,HI
130639,Twin Falls,xavier charter school,83301,ID
141435,Clifton,central high school,60927,IL
143497,Plainfiled,plainfield north high school,60585,IL
210497,Edgewood,edgewood senior high school,21040,MD
210685,LA Plata,la plata high school,20646,MD
230353,Bloomfield Hills,academy of the sacred heart,48304,MI
233520,Stockbridge,stockbridge high school,49285,MI
233775,Williamston,williamston high school,48895,MI
240660,Hermantown,hermantown high school,55811,MN
262665,Polo,polo r-vii high school,64671,MO
263055,Saint Louis,saint joseph's academy,63131,MO
332802,Levittown,gen douglas macarthur hs,11756,NY
332929,New York,city college acad of the arts,10040,NY
334545,Plattsburgh,seton catholic central,12903,NY
335375,Staten Island,ralph mckee voc-tech high sch,10301,NY
340746,Charlotte,cato middle college high sch,28215,NC
342632,Misenheimer,gray stone day school,28109,NC
360305,Barberton,barberton high school,44203,OH
400055,Harrisville,burrillville high school,02830,RI
410879,Simpsonville,brashier middle coll charter,29680,SC
410913,Greenville,powdersville high school,29611,SC
420755,Langford,langford high school,57454,SD
440175,Andrews,andrews high school,79714,TX
443293,Houston,xavier educational academy,77005,TX
443510,Hutto,hutto high school,78634,TX
443563,Irving,nimitz high school,75060,TX
445848,Richmond,william b travis high school,77406,TX
447116,Tyler,all saints episcopal school,75701,TX
447440,Weslaco,weslaco high school,78596,TX
480565,LA Center,la center high school,98629,WA
481167,Seattle,seattle lutheran high school,98116,WA
481222,South Hill,emerald ridge high school,98374,WA
501045,LA Crosse,central high school,54601,WI
010914,Dothan,northview high school,36303,AL
011060,Fairhope,fairhope high school,36532,AL
030583,Phoenix,veritas preparatory academy,85016,AZ
051267,Irvine,arnold o beckman high school,92602,CA
052585,Redding,shasta high school,96001,CA
052592,Redondo Beach,south bay faith academy,90277,CA
052760,San Andreas,calaveras high school,95249,CA
052959,Ramona,ramona cmty sch/mtn vly acad,92065,CA
053290,Santa Cruz,georgiana bruce kirby prep sc,95060,CA
054134,Menlo Park,lydian academy,94025,CA
060200,Canon City,canon city senior high school,81212,CO
060442,Denver,ps 1 urban lrng communities,80204,CO
060959,Loveland,resurrection christian school,80538,CO
090044,Washington,mckinley technology high sch,20002,DC
100287,Cocoa Beach,cocoa beach jr-sr high school,32931,FL
100478,Hollywood,hollywood hills high school,33021,FL
102022,Miami Shores,doctors charter school,33168,FL
111385,Gainesville,gainesville high school,30501,GA
130220,Garden Valley,garden valley junior-senior hs,83622,ID
143310,Orangeville,orangeville high school,61060-0430,IL
150340,Brownstown,brownstown central high school,47220,IN
150900,Elizabeth,south central jr-sr hs,47117,IN
152380,Monrovia,monrovia junior senior hs,46157,IN
161170,Denver,denver senior high school,50622,IA
162135,Indianola,indianola high school,50125,IA
164295,Tipton,tipton community high school,52772,IA
173212,Wichita,wichita hs heights,67219,KS
192671,Shreveport,evangel christian academy,71129,LA
221555,Newtonville,newton north high school,02460,MA
231712,Grand Rapids,northpointe christian hs,49525,MI
262445,N Kansas City,north kansas city high school,64116,MO
262480,O Fallon,saint dominic high school,63366,MO
263108,Saint Louis,trinity catholic high school,63138,MO
263197,Fenton,rockwood summit high school,63026,MO
263300,Springfield,central high school,65802,MO
270785,Saint Ignatius,saint ignatius high school,59865,MT
290067,Henderson,nevada state high school,89015,NV
290176,Reno,sage ridge school,89511,NV
311320,Rockaway,morris hills high school,07866,NJ
311458,Toms River,toms river high school north,08753,NJ
332363,Hicksville,holy trinity high school,11801,NY
332992,Mamaroneck,french american school of ny,10543,NY
334435,Pawling,pawling high school,12564,NY
334625,Poughkeepsie,oakwood friends school,12603,NY
334797,Rochester,eastridge high school,14622,NY
343065,Pikeville,charles b aycock high school,27863,NC
364035,Paulding,paulding high school,45879,OH
381016,Salem,blanchet school,97301,OR
391078,Dunmore,holy cross hs-dunmore,18512,PA
391832,Houston,chartiers-houston high school,15342,PA
392111,Lancaster,jp mccaskey east high school,17602,PA
395135,Wellsboro,wellsboro area high school,16901,PA
400234,Narragansett,middlebridge school,02882,RI
431433,Memphis,kingsbury high school,38122,TN
440342,Austin,star charter school,78728,TX
440915,Brownsville,saint joseph academy,78520,TX
443408,Houston,north shore senior high school,77049,TX
446122,San Antonio,antonian college prep school,78213,TX
490030,Princeton,pikeview high school,24740-8307,WV
490777,Martinsburg,faith christian academy,25404-0369,WV
501390,Milwaukee,university sch of milwaukee,53217,WI
501506,Milwaukee,ceo leadership academy,53210,WI
502428,Wauwatosa,kradwell school,53213,WI
011904,Montgomery,saint james school,36116,AL
050606,Clovis,clovis online school,93611,CA
052031,Modesto,joseph a gregori high school,95356,CA
053039,San Francisco,san francisco university hs,94115,CA
053900,San Diego,sch science connections & tech,92111,CA
060432,Denver,montbello high school,80239,CO
060931,Littleton,collegiate academy of colorado,80127,CO
101064,Miami,miami edison sr high school,33127,FL
101319,Pace,pace high school,32571,FL
101659,Port Charlotte,florida preparatory academy,33980,FL
101732,Tampa,tampa bay technical high sch,33610,FL
101738,Tampa,vivian gaither high school,33618,FL
101751,Tampa,wharton high school,33647,FL
102183,Hialeah Gardens,hialaeh gardens high school,33018-4279,FL
102221,Miami,mourning sr-high biscayne bay,33160,FL
110132,Atlanta,atlanta international school,30305,GA
110177,Atlanta,holy innocents episcopal sch,30327,GA
110475,Brunswick,glynn academy,31521,GA
111104,Douglasville,robert s alexander comp hs,30135,GA
111983,Marietta,lassiter high school,30066,GA
113130,Villa Rica,villa rica high school,30180,GA
130115,Coeur D Alene,coeur d'alene charter acad,83815,ID
130574,Rupert,mount harrison high school,83350,ID
140027,Algonquin,harry d jacobs high school,60102-9780,IL
142780,Marissa,marissa jr-sr high school,62257-2600,IL
144430,Winnetka,new trier high school,60093-4238,IL
153405,Tell City,tell city high school,47586,IN
161100,Davenport,kimberly center east,52806,IA
191425,Lafayette,lafayette high school,70506,LA
200820,Portland,portland high school,04101,ME
210036,Towson,baltimore lutheran school,21286,MD
210811,Baltimore,beth tfiloh community high sch,21208,MD
221760,Pittsfield,miss halls school,01202,MA
222170,Wakefield,wakefield high school,01880,MA
222425,Winchendon,murdock middle/high school,01475,MA
232335,Lincoln Park,lincoln park high school,48146,MI
241050,Hastings,hastings high school,55033,MN
242764,Zimmerman,zimmerman high school,55398,MN
263025,Saint Louis,rosati-kain high school,63108,MO
280555,Cozad,cozad city school,69130,NE
281620,Norfolk,norfolk senior high school,68701,NE
310518,Hazlet,raritan high school,07730,NJ
310974,Newark,marion p thomas charter hs,07103,NJ
331079,Brooklyn,millennium brooklyn high sch,11215,NY
332529,Ithaca,lehman alternative comm school,14850,NY
333800,New York,marymount school of new york,10028,NY
335230,Snyder,park school of buffalo,14226,NY
342067,Kinston,arendell parrott academy,28504,NC
360958,Cincinnati,clark montessori school,45232,OH
361114,Cincinnati,schilling sch gifted children,45249,OH
361542,Columbus,franklin heights high school,43204,OH
362438,Grove City,central crossing high school,43123,OH
370003,Ada,ada senior high school,74820-8428,OK
370225,Atoka,atoka high school,74525-0720,OK
372066,Lawton,eisenhower senior high school,73505-5840,OK
430373,Cleveland,cleveland high school,37312,TN
440343,Austin,st andrews episcopal sch,78735,TX
440582,Belton,henry t waskow leadership acad,76513,TX
442730,Garland,lakeview centennial high sch,75043,TX
443209,Houston,clear horizons early college,77089,TX
444075,LA Vernia,la vernia high school,78121,TX
444132,Flower Mound,edward s marcus high school,75028,TX
444836,Missouri City,ridge point high school,77459,TX
446084,Fort Worth,w e boswell high school,76179,TX
447005,Three Rivers,three rivers high school,78071,TX
450126,Herriman,herriman high school,84096,UT
460430,Springfield,springfield high school,05156,VT
471395,McLean,mclean high school,22101,VA
472050,Saluda,middlesex high school,23149,VA
501415,Milwaukee,hmong american peace academy,53225,WI
501575,Mount Calvary,saint lawrence seminary,53057,WI
542111,Guaynabo,colegio rosa-bell,00970,PR
991536,Denver,p.u.s.h. academy,80239,CO
011464,Homewood,homewood high school,35209,AL
050968,Fremont,irvington high school,94538,CA
051565,West Hills,chaminade college preparatory,91304,CA
051752,Los Angeles,pilgrim school,90020,CA
052563,Rancho San Marga,santa margarita catholic hs,92688,CA
053199,San Diego,audeo charter school,92121,CA
053328,Santa Rosa,montgomery high school,95405,CA
060250,Cheyenne Wells,cheyenne wells high school,80810,CO
060289,Colorado Springs,evangelical christian academy,80917,CO
060890,Lamar,lamar high school,81052,CO
060955,Lyons,lyons md-sr high school,80540,CO
100204,Cape Coral,ida s baker high school,33914,FL
100498,Fort Lauderdale,stranahan high school,33312,FL
100527,Fort Pierce,john carroll high school,34947,FL
100860,Kissimmee,osceola high school,34741,FL
100957,Lithia,newsome high school,33547,FL
101760,Titusville,titusville high school,32780,FL
101905,Winter Springs,winter springs high school,32708,FL
110931,Cumming,iachieve virtual academy,30040,GA
130485,Payette,payette high school,83661,ID
140212,Batavia,batavia high school,60510-1604,IL
141382,Chicago,walter payton coll prep school,60610-2513,IL
141517,Crystal Lake,crystal lake south high school,60014-7495,IL
141805,Elmhurst,york community high school,60126-3172,IL
160387,Bettendorf,pleasant valley cmty high sch,52722,IA
171689,Lawrence,lawrence alternative hs,66044,KS
180205,Berea,berea high school,40403,KY
180585,Villa Hills,villa madonna academy,41017-5316,KY
210935,Salisbury,wicomico high school,21804,MD
210943,Severna Park,severna park senior high sch,21146,MD
220160,Blackstone,blackstone-millville regl h s,01504,MA
221428,Milton,fontbonne academy,02186,MA
233515,Stevensville,lakeshore high school,49127,MI
233830,Ypsilanti,lincoln consolidated high sch,48197,MI
241465,Mahtomedi,mahtomedi senior high school,55115,MN
260090,Ash Grove,ash grove high school,65604,MO
260720,Columbia,david h hickman high school,65203,MO
261735,Kearney,kearney r-1 sr high school,64060,MO
310274,Denville,acad math science engineering,07834,NJ
310535,Hightstown,peddie school,08520,NJ
320060,Anthony,gadsden high school,88021,NM
320435,Maxwell,maxwell high school,87728,NM
320548,Roswell,goddard high school,88201,NM
333610,New York,elisabeth irwin high school,10014,NY
333815,New York,hewitt school,10021,NY
341603,Greensboro,northern guilford high,27455,NC
341901,Hope Mills,gray's creek high school,28348,NC
342825,Murphy,murphy high school,28906,NC
361020,Cincinnati,indian hill high school,45243,OH
362645,Hubbard,hubbard high school,44425,OH
363945,Mansfield,ontario high school,44906,OH
363985,Batavia,clermont northeastern hs,45103,OH
370265,Bartlesville,bartlesville high school,74003-5825,OK
372550,Noble,noble high school,73068-8750,OK
394660,Springfield,springfield high school,19064,PA
410412,Charleston,porter-gaud school,29407,SC
430900,Hixson,hixson high school,37343,TN
442231,El Paso,mountain view high school,79938,TX
450152,Layton,academy at solstice,84041,UT
450270,Ogden,weber high school,84414,UT
471069,Haymarket,battlefield high school,20169,VA
500595,Elkhart Lake,elkhart lake-glenbeulah hs,53020,WI
501875,Prairie Du Chien,prairie du chien sr hs,53821,WI
501960,Rhinelander,rhinelander high school,54501,WI
020125,Seward,seward jr-sr high school,99664-1049,AK
030278,Phoenix,central high school,85012,AZ
040772,Fayetteville,nw ar cc regional tech ctr,72701-6278,AR
050974,Fremont,american high school,94536,CA
051120,Half Moon Bay,half moon bay high school,94019,CA
051896,Malibu,malibu high school,90265,CA
052104,Murrieta,calvary chapel christian sch,92562,CA
052157,North Highlands,campos verdes adult school,95660,CA
052686,Pasadena,maranatha high school,91105,CA
052869,San Diego,san diego sch creative perf ar,92139,CA
053095,San Jose,notre dame high school,95112,CA
053763,LA Habra,whittier christian high school,90631,CA
053818,Yucca Valley,yucca valley high school,92284,CA
060118,Boulder,fairview high school,80305,CO
060860,Kremmling,west grand high school,80459,CO
061071,Northglenn,colorado virtual acad (cova),80233,CO
100791,Jacksonville,douglas anderson school arts,32207,FL
101437,Port Orange,spruce creek high school,32127,FL
112623,Roswell,centennial high school,30076,GA
140045,Oak Brook,fusion academy-oak brook,60523,IL
141428,Darien,hinsdale south high school,60561-4288,IL
144005,Sterling,newman central catholic hs,61081-9043,IL
151880,Kokomo,northwestern high school,46901,IN
172685,Salina,salina high school central,67401,KS
172720,Sedan,sedan senior high school,67361,KS
172821,Stilwell,blue valley west high school,66085,KS
172821,Overland Park,blue valley west high school,66085,KS
210410,Colora,west nottingham academy,21917,MD
210582,Germantown,seneca valley high school,20874,MD
220305,Brookline,maimonides school,02445,MA
220785,Fall River,b m c durfee high school,02720,MA
221082,Hyannis,sturgis charter school,02601,MA
221405,Middleboro,middleborough high school,02346,MA
222095,Sutton,sutton memorial high school,01590,MA
230926,Detroit,detroit cristo rey high school,48209,MI
260128,Ballwin,parkway west sr high school,63011,MO
261782,Kirkwood,kirkwood high school,63122,MO
263292,Springfield,parkview high school,65807,MO
263590,Wentzville,wentzville holt high school,63385,MO
310001,Allendale,northern highlands reg high sc,07401,NJ
310110,Blairstown,north warren regional hs,07825,NJ
311073,Paramus,paramus high school,07652,NJ
311411,Stanhope,lenape valley regional hs,07874,NJ
311460,Toms River,toms river high school south,08753,NJ
320372,Las Cruces,mayfield high school,88005,NM
320415,Lovington,lovington high school,88260,NM
330335,Batavia,notre dame high school,14020,NY
331205,Canastota,canastota high school,13032,NY
333205,Montrose,hendrick hudson high school,10548,NY
333777,New York,fusion academy - new york,10016,NY
335770,Wappingers Falls,roy c ketcham senior hs,12590,NY
361735,Creston,norwayne high school,44217,OH
370650,Catoosa,catoosa high school,74015-3232,OK
391348,Downingtown,21st century cyber charter sch,19335,PA
393707,Upper St Clair,upper saint clair high school,15241,PA
421259,Tea,tea area high school,57064,SD
431683,Nashville,hillwood comprehensive high sc,37205,TN
442614,Fort Worth,uplift mighty preparatory,76105,TX
443742,Katy,pope john xx111 high school,77449,TX
443755,Keller,keller high school,76248,TX
446090,Salado,salado high school,76571,TX
446770,Stratford,stratford high school,79084,TX
470707,Dry Fork,tunstall high school,24549,VA
470786,Vienna,fairfax christian school,22182,VA
470800,Falmouth,stafford senior high school,22405,VA
