HS_NAME,HS_CEEB,HS_NCES
obama ac international studies,393642,NA
ellis school,393695,NA
vincentian academy,393940,NA
archbishop carroll high school,394131,NA
central catholic high school,394140,NA
pius x high school,394295,NA
penn foster high school,394413,NA
scranton preparatory school,394440,01907505
faith christian academy,394462,NA
kennedy catholic high school,394502,NA
westtown school,395230,NA
aquinas academy,395261,NA
philadelphia montgomery chrn,395398,NA
commonwealth connections acad,396082,NA
rocky hill school,400043,NA
saint georges school,400085,NA
moses brown school,400180,NA
st mary academy - bay view,400215,01257474
prout school,400228,NA
middlebridge school,400234,NA
bishop england high school,410370,NA
palmetto academy,410413,NA
charleston math-sci charter,410418,NA
ben lippen school,410501,A9106189
south carolina connections aca,410524,450390101520
provost academy,410551,NA
thomas sumter academy,410623,01264459
christ church episcopal school,410892,NA
laurens academy,411274,450261000701
low country day school,411588,NA
oakbrook preparatory school,411849,NA
james valley christian school,420657,NA
east hamilton middle-high sch,430044,470159002214
brentwood academy,430163,NA
baylor school,430275,NA
chattanooga st middle coll hs,430304,NA
mccallie school,430315,A9501499
clarksville academy,430353,NA
saint georges high school,430413,NA
saint benedict at auburndale,430451,NA
battle ground academy,430700,01297054
aaron academy,430887,NA
knoxville catholic high school,431095,NA
grace christian academy,431096,NA
tennessee governors academy,431103,NA
briarcrest christian school,431391,NA
harding academy of memphis,431417,NA
homelife academy,431423,NA
memphis academy of sci & eng,431424,470014802045
lausanne collegiate school,431435,NA
saint agnes academy,431465,NA
westminster academy,431506,NA
david lipscomb high school,431655,NA
donelson christian academy,431657,NA
ensworth high school,431662,NA
metro nashville virtual school,431673,NA
gateway academy,431723,NA
lancaster christian academy,432139,NA
abilene christian schools,440008,NA
liberal arts and science acad,440069,NA
ascension academy,440122,NA
international leadership texas,440222,NA
gateway preparatory school,440226,480023512294
grace preparatory academy,440228,NA
huntington-surrey school,440309,NA
griffin school,440334,NA
austin waldorf school,440338,NA
st andrews episcopal sch,440343,NA
univ texas austin hs program,440344,480894000294
headwaters school,440354,NA
khabele school,440354,NA
premier high school - n austin,440372,NA
premier high school- lanier,440389,NA
texas ac leadership humanities,440533,NA
episcopal high school,440561,02163438
veterans memorial high school,440903,481168012029
idea college prep-frontier,440906,480021111952
earl rudder high school,440959,481179011154
carrollton christian academy,441137,NA
dallas international school,441712,NA
bishop lynch high school,441718,NA
hockaday school,441750,NA
alexander school,441827,NA
richland collegiate hs,441848,480027111189
hampton preparatory school,441857,NA
billy c ryan high school,441940,NA
selwyn school,441943,01326065
john h guyer high school,441946,NA
denton calvary academy,441947,NA
selwyn school,441948,01326065
texas academy math & science,441954,NA
robert vela high school,442143,NA
idea quest college prep,442144,NA
academy science & technology,442258,NA
mission early college hs,442270,NA
queen of heaven academy,442487,NA
young womens leadership acad,442489,NA
oakridge school,442551,NA
southwest christian school,442562,A1303480
west academy,442574,NA
central high school,442583,NA
dr justin wakeland hs,442602,NA
uplift mighty preparatory,442614,NA
reedy high school,442627,482001013003
lones star high school,442638,NA
oconnell high school,442705,01608593
fulton academy rockwall county,443192,NA
westside school,443329,NA
duchesne academy sacred heart,443363,Y1325356
northland christian school,443414,NA
saint johns school,443425,NA
woodland acres chrstn school,443466,NA
yes prep public schs-n central,443588,480020909503
rainard school,443593,NA
advanced virtual academy,443619,NA
benjamin o davis jr high schoo,443644,NA
collegiate acad tarrant col ne,443654,NA
fusion academy - houston galle,443663,NA
obra d tompkins high school,443726,NA
pope john xx111 high school,443742,NA
kipp academy charter school,443751,NA
energy institute high school,443760,NA
northeast christian academy,443867,01642171
brazosport christian school,443968,NA
alexander high school magnet,444041,NA
saint augustine high school,444050,NA
laredo early college hs,444057,NA
rouse high school,444097,NA
texas virtual academy,444154,480020713294
ischool high,444159,NA
texas online preparatory schoo,444166,NA
mercy ships academy,444168,NA
judson early college academy,444209,482499012011
all saints episcopal school,444337,NA
texas technical univeristy hs,444357,NA
magnolia west high school,444424,NA
mckinney boyd high school,444633,NA
midland classical academy,444739,NA
kipp univ prep high school,444798,NA
mission collegiate high school,444839,NA
pioneer high school,444842,NA
early college high school @mc,445046,483057012458
harmony schl of political sci,445129,NA
richard milburn academy,445202,NA
dawson high school,445414,NA
idea academy and college prep,445509,480021112390
willow bend academy,445574,NA
spring creek academy,445577,NA
poetry community christian sch,445580,NA
einstein school,445581,NA
grulla high school,445869,NA
heritage christian academy,445943,NA
cornerstone christian hs,446105,NA
business careers high school,446119,NA
antonian college prep school,446122,NA
blessed hope academy,446123,NA
communication arts high school,446139,NA
incarnate word high school,446155,NA
keystone school,446158,NA
northside excel academy,446190,NA
john paul steven high school,446215,NA
stem early college hs alamo,446216,NA
william j brennan high school,446239,NA
rick hawkins high school,446242,NA
louis d brandeis high sch,446254,483312011431
tmi-episcopal school of tx,446255,01327182
wagner high school,446277,NA
providence classical school,446684,NA
harmony school of sci- houston,446789,NA
stephen f austin high school,446790,NA
bishop thomas k gorman hs,447117,NA
victoria west high school,447268,NA
rapoport academy-meyer hs,447309,NA
success academy,450052,490003701101
providence hall charter school,450124,490012401202
diamond ranch academy,450132,NA
sunrise academy,450137,NA
academy at solstice,450152,NA
logan river academy,450171,490051000351
stansbury academy,450178,NA
vista private school,450178,NA
dorius academy,450189,NA
la europa academy,450222,NA
salt lake gateway academy,450238,NA
oakley school,450242,NA
davinci acad of sci and arts,450249,490006500995
telos academy,450287,NA
winter sports sch in park city,450291,NA
brigham young univ indep hs,450312,NA
new haven school,450315,NA
meridian school,450319,NA
heritage school,450323,NA
provo high school/eschool,450341,NA
nuames early college high sch,450346,NA
desert hills high school,450359,NA
rowland hall-saint marks sch,450385,NA
mount olympus prep school,450432,A0771895
vermont international academy,460087,NA
lake champlain waldorf hs,460099,A9106766
killington mountain school,460213,01422611
vermont acad science and tech,460346,NA
vermont academy,460405,NA
the king george school,460446,NA
st stephens & st agnes school,470040,NA
bishop denis j oconnell hs,470103,NA
langston hs cont ed program,470126,510027002944
h b woodlawn,470127,510027002659
covenant school,470433,NA
pope john paul the great cath,470720,NA
ad fontes academy,470806,NA
interagency alternative school,470814,NA
timberlake christian school,470856,NA
seton home study school,470902,NA
george washington univ online,471066,NA
liberty christian academy,471302,NA
virginia episcopal school,471305,01432481
new directions alternative edu,471342,NA
foxcroft school,471425,NA
miller school,471440,01434321
flint hill school,471648,NA
governors school,471851,NA
community school,471948,NA
carmel christian school,472008,NA
carlbrook school,472108,NA
stuart hall,472170,NA
rainier christian high school,480053,NA
dartmoor school,480061,NA
academic institute inc,480066,NA
eastside catholic high school,480067,NA
highline big picture hs,480134,NA
washington virtual academies,480311,NA
solomon christian school,480345,NA
archbishop thomas j murphy hs,480391,NA
puget sound adventist academy,480551,NA
harrison preparatory school,480589,NA
north sound christian sr hs,480653,NA
marysville arts & tech hs,480684,530486003102
privett academy,480702,NA
northwest christian high sch,480834,NA
liberty christian school,481001,NA
the delta high school,481008,NA
educational advancement acad,481081,NA
seattle waldorf high school,481088,NA
interagency academy,481089,NA
holy names academy,481100,NA
john f kennedy cath high sch,481116,NA
lakeside school,481120,NA
apex learning,481142,NA
health sci and human svcs hs,481149,NA
university preparatory academy,481169,01462315
charles wright academy,481368,NA
world class academy,481437,NA
seton catholic college prep hs,481471,NA
chrysalis school,481593,NA
christa mcauliffe academy,481606,NA
university collaborative sch,490204,NA
whitmore school,490940,NA
st john's nw military academy,500505,NA
saint marys springs hs,500675,NA
saint joseph high school,501007,01507267
ceo leadership academy,501506,NA
lourdes high school,501732,NA
prairie school,501918,NA
valley christian school,502036,NA
ideas academy,502103,NA
luther preparatory school,502382,01513656
wausau egl academy,502416,NA
kradwell school,502428,NA
thunder basin high school,510079,560147000580
international school of dakar,635920,NA
khartoum american school,641103,NA
american intl sch of lusaka,649130,NA
tashkent intl school,788186,NA
carol morgan school the,842200,NA
new horizons bilingual school,842248,NA
international school of sosua,842310,NA
escuela americana de el salvd,846400,NA
american school of guatemala,854200,NA
colegio interamericano,854270,NA
equity american school,854401,NA
escuela internacional sampdrna,862150,NA
discovery school,862298,NA
american intl sch of kingston,866860,NA
american nicaraguan school,878160,NA
academia interamericana panama,882191,NA
international sch prt of spain,886253,NA
american school-headmaster,935050,NA
saint annes school-paraguay,935260,NA
escuela campo alegre m-314,950290,NA
colegio intnl de carabobo,950760,NA
international sch of monagas,950824,NA
education & career dev div,980061,NA
pioneer sch exped learning,991521,NA
chinook west,991535,NA
louisiana coll acad accel stdy,995523,NA
alternative diploma program,995530,NA
p.u.s.h. academy,995536,NA
yampa valley high school,996103,A9700765
goal academy,996111,NA
edcsd on-line education,996115,080345006372
