HS_NAME,HS_CEEB,HS_NCES
bayshore prep,053977,NA
redlands adult school,053982,063207013458
alsion montessori middle/high,053989,NA
garden street academy,054006,NA
millennium high school,054020,NA
international std learning ctr,054028,062271010863
sierra canyon high school,054038,NA
charter hs arts media perform,054046,060158010865
miguel contreras lrng complex,054053,NA
maranatha christian schools,054056,NA
olympian high school,054072,NA
connections academy capistrano,054092,NA
capistrano connections academy,054092,NA
np3 charter high school,054095,NA
nova academy early col hs,054104,060156510989
lydian academy,054134,NA
hector godinez fundamental hs,054150,NA
american indian public hs,054176,060222711563
sacramento acad & voca acad,054188,060234814224
academic leadership community,054254,NA
bayhill high school,054279,NA
trinity classical academy,054284,NA
cambrian international academy,054297,NA
international virtual learning,054314,NA
anahuacalmecac int' univ hs,054332,060192512271
shadow hills high school,054345,NA
alliance environment sci tech,054360,NA
daniel pearl magnet high sch,054368,062271012525
da vinci science high school,054378,060150513832
verdugo academy,054386,061524000440
opportunities lrng-hermosa bch,054400,NA
humanitas ac art tech-torres,054451,NA
albert einstein academy of let,054493,NA
san francisco international hs,054515,NA
diego rivera comm/tech school,054544,NA
fusion academy - san mateo,054595,NA
fusion academy - warner center,054599,NA
coleman tech charter school hs,054600,NA
augustus f hawkins sh,054632,NA
linda marquez sr hs libra acad,054644,062271013203
hilda l solis learning academy,054710,NA
episcopal school los angeles,054718,NA
halstrom academy,054745,BB140094
del lago academy,054746,061291013061
halstrom academy - brentwood,054752,NA
halstrom academy,054753,NA
alliance margaret bloomfield,054772,NA
renuevo leadership academy,054788,NA
sierra academy of exped learn,054790,NA
design tech high school,054814,NA
muse middle and high school,054825,A0990016
pacifica christian hs orange,054827,060251014414
ilead innovation studios,054846,NA
pikes peak early college,060006,NA
apex homeschool enrichment pro,060032,NA
cherry creek options school,060038,NA
two roads charter high school,060049,NA
maranatha christian high sch,060053,NA
desiderata school inc,060098,NA
shining mountain waldorf sch,060111,NA
front range academy,060129,NA
tara institute performing arts,060131,NA
watershed school,060136,NA
edcsd colorado cyber school,060190,080345006372
goal academy,060226,080387006393
academy online high school,060243,NA
thomas maclaren charter school,060251,080002006437
saint marys high school,060295,NA
early college hs d-11,060333,NA
atlas preparatory school,060336,NA
victory prep academy,060337,080002006585
achieve k12,060348,NA
delta vision home & comm prgm,060361,NA
denver center intl studies,060362,080336006528
jim elliot schools,060369,NA
falcon virtual academy,060373,NA
spring studio for academic exc,060373,NA
belleview christian school,060385,NA
denver christian high school,060395,NA
denver academy,060396,NA
cedarwood christian academy,060399,NA
denver waldorf high school,060403,NA
escuela tlatelolco,060406,NA
faith christian academy,060414,NA
bishop machebeuf high school,060419,NA
mile high academy,060426,NA
excelsior high school,060440,NA
ps 1 urban lrng communities,060442,NA
ps 1 charter school,060447,NA
denver street school,060454,NA
rocky mountain academy,060458,NA
colorado christian school,060463,NA
welby new technology,060478,080555001997
southwest early college,060486,NA
grace preparatory academy,060488,NA
venture prep,060494,NA
summit academy,060502,NA
greeley-evans alternative prog,060518,NA
saint marys academy hs,060535,NA
eagle rock sch prof dev center,060551,NA
vista academy high school,060552,080336006514
riseup community school,060555,NA
front range baptist academy,060589,NA
faith christian academy,060619,NA
psd global academy,060622,NA
mscd lab school lookout mtn,060673,NA
caprock academy,060682,080002006305
mesa valley vision home cmnty,060684,NA
jefferson high school,060702,NA
provost academy colorado,060721,NA
mountain view virtual,060727,NA
skyview academy high school,060739,NA
sky view academy,060739,NA
stem school,060741,080345006493
chatfield school,060924,NA
faith baptist high school,060933,NA
rock solid high school,060939,NA
pleasant hill academy,060941,NA
hope co-op online learning acd,060961,NA
st vrain online global acad,060963,080537006532
saint vrain online global acad,060963,080537006532
colorado virtual acad (cova),061071,NA
community christian school,061073,NA
cornerstone christian academy,061074,NA
rocky mountain lutheran hs,061076,NA
north fork vision home/com prg,061147,080333006667
dolores huerta preparatory hs,061192,NA
rocky mountain digital academy,061201,NA
christian cottage school,061265,NA
mesa-mapleton exped sch arts,061358,NA
westgate community school,061363,NA
insight school of colorado,061436,NA
family acad of christian educ,061447,NA
foothills academy,061454,NA
ja-hope and summit academy,061459,NA
avon old farms school,070010,090012000011
aerospace/hydrospace eps hs,070072,090045001639
biotechnology research,070074,090045001636
saint paul catholic hs,070082,NA
franklin academy,070166,NA
brunswick school,070219,NA
convent of sacred heart,070220,NA
marine science magnet high sch,070252,NA
cooperative high school,070261,090279001207
new haven academy,070281,090279000547
engineering & science univ mag,070282,NA
pathways to technology magnet,070304,NA
forman school,070350,NA
great path ac @ manchester cc,070372,090192001403
east catholic high school,070373,NA
werace adult diploma,070646,NA
salisbury school,070655,NA
westminster school,070680,NA
king (klht),070720,NA
king school,070720,NA
links academy,070728,NA
suffield academy,070765,NA
gunnery the,070825,090353001632
chase collegiate school,070850,NA
oxford academy,070912,NA
greens farms academy,070915,NA
loomis chaffee school,070945,NA
hyde school woodstock,070972,NA
caravel academy,080002,NA
archmere academy,080010,NA
sanford school,080070,NA
layton preparatory school,080122,NA
saint elizabeth high school,080190,NA
tatnall school,080200,NA
fusion academy washington dc,090009,NA
emerson preparatory school,090065,NA
field school,090073,NA
georgetown day high school,090081,NA
saint anselms abbey school,090155,NA
saint albans school for boys,090165,NA
saint johns college high sch,090185,00253062
cesar chaves pub charter schoo,090206,110000500456
champion preparatory academy,100014,NA
florida atlantic univ hs,100113,NA
saint andrews school,100132,A9102006
edison academic center,100160,NA
boca raton preparatory school,100164,A9901157
weinbaum yeshiva high school,100168,NA
donna klein jewish academy hs,100178,NA
lighthouse point academy nbps,100307,NA
university of miami global ac,100372,NA
oak hall school,100553,NA
ogburn school,100576,NA
archbshp edward a mccarthy hs,100577,NA
atlantic school,100733,NA
seacoast christian academy,100777,A9501349
juno beach preparatory school,100823,NA
santa fe catholic regional hs,100897,NA
american heritage private sch,100901,NA
international community school,100907,NA
academy at the lakes day sch,100922,NA
indian rocks christian school,100941,NA
university high school,100981,NA
gulliver prep sch-pinecrest,101012,NA
florida air academy,101020,NA
florida preparatory academy,101020,NA
christopher columbus hs,101048,00257318
westminster christian school,101105,NA
trinity episcopal school,101136,NA
beaches chapel school,101213,NA
ben lipson hillel community hs,101234,NA
benjamin school,101239,NA
bishop moore catholic hs,101285,NA
circle christian school,101306,A9901182
first academy,101316,NA
a beka acad video homeschooler,101388,NA
american heritage sch plantatn,101422,A9700925
saint joseph academy,101480,NA
international baccalaureate pg,101511,NA
david posnack hebrew day sch,101532,NA
trinity catholic high school,101616,NA
international learning academy,101619,NA
florida preparatory academy,101659,NA
berkeley preparatory school,101686,NA
ideal high school,101781,NA
summit christian high school,101836,NA
all saints academy,101892,NA
masters academy,101897,NA
polk comm coll collegiate hs,101906,NA
acad arts & minds charter hs,101992,NA
hale academy,102015,NA
morning star academy,102041,NA
mourning sr-high biscayne bay,102221,NA
miami arts charter school,102231,NA
med acad science & techno,102335,120039007923
north bay haven career academy,102382,NA
riviera preparatory school,102386,NA
wilostar3d academy,102458,NA
alachua eschool,102492,NA
seacoast collegiate high sch,102550,NA
mast at fiu biscayne bay cmps,102607,120039008302
deerfield-windsor school,110043,NA
