HS_CEEB,HS_CITY,HS_NAME,HS_POSTAL_CD,HS_STATE
544800,San Juan,commonwealth parkville school,00918,PR
320687,Thoreau,st bonaventure high school,87323,NM
061308,Steamboat Springs,christian heritage school,80487,CO
070373,Manchester,east catholic high school,06042,CT
090155,Washington,saint anselms abbey school,20017,DC
241494,Stillwater,saint croix christian academy,55082,MN
310915,Livingston,newark academy,07039,NJ
320620,Santa Fe,saint michaels high school,87505,NM
460446,Sutton,the king george school,05867,VT
480345,Edmonds,solomon christian school,98026,WA
042162,Rogers,benton county christian school,72758-6307,AR
070912,Westbrook,oxford academy,06498,CT
150209,Bloomington,harmony school,47402,IN
333490,New York,browning school,10021,NY
635920,Washington,international school of dakar,20521,DC
052504,Pomona,pomona catholic high school,91768,CA
060941,Longmont,pleasant hill academy,80501,CO
320076,Albuquerque,public academy performing arts,87110,NM
441750,Dallas,hockaday school,75229,TX
444357,Lubbock,texas technical univeristy hs,79409,TX
052300,Oxnard,santa clara high school,93033,CA
060361,Delta,delta vision home & comm prgm,81416,CO
090165,Washington,saint albans school for boys,20016,DC
140830,Chicago,francis w parker school,60614-3820,IL
310353,Englewood,law and public safety academy,07631,NJ
320299,Gallup,univ nm gallup middle coll hs,87301,NM
110264,Atlanta,yeshiva atlanta,30340,GA
110264,Atlanta,atlanta jewish academy,30340,GA
143237,Burbank,saint laurence high school,60459-1300,IL
311430,Summit,oak knoll school,07901,NJ
392107,Lancaster,dayspring christian academy,17601,PA
442638,Frisco,lones star high school,75033-3589,TX
450312,Provo,brigham young univ indep hs,84602,UT
192030,New Orleans,holy cross high school,70122,LA
220050,Ashburnham,cushing academy,01430,MA
260734,Columbia,mu high school - univ of mo,65211,MO
260734,Columbia,u of mo-columbia high school,65211,MO
260783,Saint Louis,whitfield school,63131,MO
372786,North Owasso,rejoice high school,74055,OK
445580,Terrell,poetry community christian sch,75160-0642,TX
054279,Oakland,bayhill high school,94610,CA
181570,Louisville,louisville collegiate school,40204-0369,KY
342527,Matthews,carmel christian school,28105,NC
041453,Little Rock,little rock christian academy,72222,AR
052708,Sacramento,capital christian high school,95827,CA
060502,Denver,summit academy,80236,CO
111841,Lilburn,tnt academy,30047,GA
480134,Burien,highline big picture hs,98148,WA
060222,Pueblo,aim global,81003-2801,CO
262147,Maryville,missouri academy sci math comp,64468,MO
334864,Tarrytown,ef international academy,10591,NY
360090,Akron,saints vincent & mary hs,44303,OH
441712,Dallas,dallas international school,75230,TX
444842,Mission,pioneer high school,78753,TX
060440,Aurora,excelsior high school,80014,CO
102015,Ocala,hale academy,34474,FL
111994,Woodstock,noah webster center,30188,GA
130064,Bovill,idaho distance education acad,83806,ID
311278,Princeton,stuart cntry day scl sac hrt,08540,NJ
445129,Austin,harmony schl of political sci,78717-1020,TX
446789,Sugarland,harmony school of sci- houston,77478,TX
060369,Highlands Ranch,jim elliot schools,80163,CO
120023,Honolulu,honolulu waldorf school,96816,HI
335540,Tarrytown,hackley school,10591,NY
053411,Sonoma,soloquest learning center,95476,CA
053886,Livermore,vineyard high school,94550,CA
100941,Largo,indian rocks christian school,33774,FL
101579,Sarasota,out of door academy high sch,34240,FL
393130,Ottsville,tinicum art and science,18942,PA
444050,Laredo,saint augustine high school,78040,TX
450238,Salt Lake City,salt lake gateway academy,84106,UT
502036,St Croix Fls,valley christian school,54024,WI
030661,Scottsdale,scottsdale prepatory academy,85260,AZ
053512,Torrance,bishop montgomery high school,90503,CA
142510,Lake Forest,woodlands academy,60045-3263,IL
431673,Nashville,metro nashville virtual school,37212,TN
441940,Denton,billy c ryan high school,76208,TX
577140,Apo,vicenza american school dod,09630,AE
842310,Miami,international school of sosua,33144,FL
260123,Ava,ava victory academy,65608,MO
380898,Portland,pauling academy,97266,OR
481116,Seattle,john f kennedy cath high sch,98168,WA
561650,Apo,kadena high school dod,96368,AP
I01758,Lima       18       Peru,colegio franklin d roosevelt,,
052843,San Diego,francis w parker school,92111,CA
054753,Manhattan Beach,halstrom academy,90245,CA
054814,Burlingame,design tech high school,94010,CA
070720,Stamford,king (klht),06905,CT
070720,Stamford,king school,06905,CT
100823,Juno Beach,juno beach preparatory school,33408,FL
101105,Village of Palme,westminster christian school,33157,FL
151729,Indianapolis,irvington prep academy,46219-7222,IN
200390,Fryeburg,fryeburg academy,04037,ME
430304,Chattanooga,chattanooga st middle coll hs,37406,TN
231225,Detroit,university detroit jesuit hs,48221,MI
432139,Smyrna,lancaster christian academy,37167,TN
576260,APO,stuttgart american high school,09279,AE
070252,Groton,marine science magnet high sch,06340,CT
233507,Sterling Heights,utica academy international st,48312,MI
241585,Richfield,academy of holy angels,55423,MN
320408,Las Cruces,arrowhead park early coll high,88011-5129,NM
335370,Staten Island,richmondtown preparatory sch,10306,NY
542197,Gurabo,american academy,,PR
010018,Helena,hillsboro school,35080,AL
030690,Queen Creek,poston butte high school,84143,AZ
150219,Bloomington,indiana university high school,47405,IN
210300,Brooklandville,maryvale preparatory school,21022,MD
210580,Owings Mills,garrison forest school,21117,MD
221545,Needham,saint sebastians school,02492,MA
395230,Westtown,westtown school,19395,PA
440533,Beaumont,texas ac leadership humanities,77710,TX
544771,San Juan,saint marys school,00926,PR
052487,Playa Del Rey,saint bernard catholic hs,90293,CA
070219,Greenwich,brunswick school,06830,CT
431417,Memphis,harding academy of memphis,38117,TN
442489,Fort Worth,young womens leadership acad,76102,TX
450346,Layton,nuames early college high sch,84041,UT
575020,APO,lakenheath high school dod,09461-5107,AE
575020,Brandon Su Ip27 9pn United Kin,lakenheath american high sch,,
111405,Gainesville,riverside military academy,30501,GA
164165,Storm Lake,saint marys school,50588,IA
320530,Rehoboth,rehoboth christian school,87322,NM
101136,Miami,trinity episcopal school,33156,FL
181604,Louisville,saint francis high school,40202-2113,KY
320628,Santa Fe,santa fe secondary school,87501,NM
525155,Barrigada,harvest christian academy,96921,GU
054515,San Francisco,san francisco international hs,94110,CA
060123,Denver,north high sch engagement ctr,80211-3795,CO
060939,Littleton,rock solid high school,80121,CO
070850,Waterbury,chase collegiate school,06708,CT
231820,Grosse Pointe,university liggett school,48236,MI
051541,Livermore,livermore valley charter prep,94551,CA
333905,New York,regis high school,10028,NY
012137,Phenix City,glenwood school,36868,AL
050020,Alameda,saint joseph-notre dame hs,94501,CA
052007,Mission Viejo,saddleback christian academy,92691,CA
053947,Novato,marin school of arts & tech,94949,CA
192023,Metairie,ecole classique,70006,LA
350575,Fargo,shanley high school,58104,ND
372661,Oklahoma City,francis tuttle area tech ctr,73142-2710,OK
112629,Alpharetta,saint francis high school,30004,GA
231726,Wyoming,potter's house christian hs,49509,MI
310249,Clifton,pioneer academy of science,07011,NJ
394295,Bangor,pius x high school,18013,PA
430413,Collierville,saint georges high school,38017,TN
053335,Santa Rosa,ursuline high school,95403,CA
054092,Aliso Viejo,capistrano connections academy,92656,CA
054092,Aliso Viejo,connections academy capistrano,92656,CA
110043,Albany,deerfield-windsor school,31707,GA
394502,Hermitage,kennedy catholic high school,16148,PA
542110,Guaynabo,american military academy,00970,PR
561980,Apo,zama american high school dod,96343,AP
050208,Bakersfield,bakersfield christian high sch,93312,CA
241157,Hopkins,main street school perf arts,55343,MN
251044,Greenville,washington school,38703,MS
262834,Springfield,gloria deo academy,65809,MO
270030,Ashland,saint labre indian catholic hs,59003,MT
290229,Las Vegas,adelson upper school,89134,NV
290229,Las Vegas,the adelson school,89134-0100,NV
333425,New York,baldwin school n y c,10023,NY
334859,Rochester,world of inquiry high school,14621,NY
335400,Staten Island,staten island academy,10304,NY
381042,Portland,early college high school,97229,OR
445414,Pearland,dawson high school,77581,TX
576100,Apo,spangdahlem hs dod,09123,AE
576100,Apo,bitburg american hs dod,09126,AE
053977,San Marcos,bayshore prep,92069,CA
080002,Bear,caravel academy,19701,DE
260722,Columbia,columbia independent school,65215,MO
300251,Haverhill,oliverian school the,03765,NH
440334,Austin,griffin school,78751,TX
540580,Arecibo,colegio evangelico capt correa,00614,PR
053244,Santa Barbara,anacapa school,93108,CA
060486,Denver,southwest early college,80236,CO
220552,Charlemont,academy at charlemont,01339,MA
470856,Forest,timberlake christian school,24551,VA
060032,Longmont,apex homeschool enrichment pro,80501,CO
060419,Denver,bishop machebeuf high school,80230,CO
210812,Brooklandville,park school of baltimore,21022,MD
220409,Boston,william j ostiguy hs,02111,MA
242273,Saint Paul,jennings experiential hs,55104,MN
320111,Albuquerque,nex gen high school,87109,NM
525080,Hagatna,father duenas memorial school,96932,GU
053654,Ventura,saint augustine academy,93004,CA
060426,Denver,mile high academy,80210,CO
441946,Denton,john h guyer high school,76210,TX
151908,Lafayette,faith christian school,47905,IN
233382,Saint Joseph,michigan lutheran high school,49085,MI
341045,Durham,camelot academy,27707,NC
410413,Charleston,palmetto academy,29407,SC
442270,El Paso,mission early college hs,79928,TX
550084,Kingshill,saint croix edu complex hs,00850,VI
575505,Apo,afnorth international sch dod,09703,AE
575505,Apo,afnorth school dod,09703,AE
052836,El Cajon,christian junior senior hs,92019,CA
053989,Fremont,alsion montessori middle/high,94539,CA
100168,Boca Raton,weinbaum yeshiva high school,33433,FL
261612,Kansas City,blue ridge christian school,64138,MO
330030,Albany,doane stuart school,12202,NY
331931,Flushing,windsor school,11355,NY
481089,Seattle,interagency academy,98108,WA
481471,Vancouver,seton catholic college prep hs,98684,WA
481606,Yakima,christa mcauliffe academy,98908,WA
053836,Solana Beach,cal coast academy,92075,CA
101992,Coconut Grove,acad arts & minds charter hs,33133,FL
460346,Randolph Ctr,vermont acad science and tech,05061,VT
053354,North Hills,centers of learning,91393,CA
161748,Gilbertville,don bosco high school,50634,IA
230087,Ann Arbor,greenhills school,48105,MI
281227,Kearney,kearney catholic high school,68848,NE
010332,Birmingham,briarwood christian hs,35242,AL
051843,Los Angeles,yeshiva univ hs los angeles,90035,CA
191162,Harvey,jefferson chamber foundation,70058,LA
331927,Flushing,holy cross high school,11358,NY
442574,Fort Worth,west academy,76110,TX
481149,Seattle,health sci and human svcs hs,98146,WA
910040,Apo,american school belo horizonte,34030,AA
260782,Saint Louis,saint louis priory school,63141,MO
262905,Saint Joseph,bishop le blond high school,64506,MO
335576,Tonawanda,cardinal ohara high school,14150,NY
950824,Miami,international sch of monagas,33102,FL
101616,Ocala,trinity catholic high school,34474,FL
443644,Houston,benjamin o davis jr high schoo,77067-4253,TX
450242,Oakley,oakley school,84055,UT
050132,Arcadia,first presbyterian school,91007,CA
060129,Broomfield,front range academy,80020,CO
290079,Henderson,advantages online private sch,89052,NV
310451,Hackensack,acad for cul vis tele & power,07601,NJ
332369,Glen Cove,solomon schechter high school,11542,NY
576325,Apo,stuttgart high school dod,09107,AE
576325,Apo,patch american high school dod,09107,AE
051567,Santa Monica,concord high school,90403,CA
054095,Sacramento,np3 charter high school,95834-9606,CA
190244,Baton Rouge,dunham school,70810,LA
544760,San Juan,univ puerto rico secondary sch,00931,PR
030191,Laveen,estrella mountain high school,85339,AZ
100897,Lakeland,santa fe catholic regional hs,33801,FL
101836,West Palm Beach,summit christian high school,33415,FL
140991,Chicago,itw david speer academy,60639,IL
233193,Riverview,gabriel richard high school,48192,MI
440008,Abilene,abilene christian schools,79601,TX
441947,Denton,denton calvary academy,76202,TX
210069,Towson,jemicy school-towson campus,21204,MD
320597,Santa Fe,desert academy,87501,NM
051512,Los Altos Hills,pinewood school,94022,CA
053142,San Jose,harker school,95129,CA
060333,Colorado Springs,early college hs d-11,80909-1921,CO
333870,New York,notre dame school,10014,NY
372684,Oklahoma City,oklahoma school of sci & math,73104-2847,OK
446239,San Antonio,william j brennan high school,78253,TX
481593,Woodinville,chrysalis school,98072,WA
577099,Apo,aviano american hs dod,09604,AE
030697,Peoria,glendale prep academy,85383-1621,AZ
060619,Fowler,faith christian academy,81039,CO
140693,Chicago,chicago bulls college prep,60612,IL
431095,Knoxville,knoxville catholic high school,37923,TN
446216,San Antonio,stem early college hs alamo,78214,TX
540792,Bayamon,baldwin school of puerto rico,00960,PR
052432,Pasadena,options for youth-san gabriel,91101,CA
053255,Santa Barbara,laguna blanca school,93110,CA
060684,Grand Junction,mesa valley vision home cmnty,81501-2115,CO
200825,Portland,catherine mcauley high school,04103,ME
333570,New York,columbia grammar & prep school,10025,NY
360955,Cincinnati,cincinnati country day school,45243,OH
444337,Lubbock,all saints episcopal school,79423,TX
470814,Falls Church,interagency alternative school,22042,VA
472170,Staunton,stuart hall,24401,VA
480391,Everett,archbishop thomas j murphy hs,98208,WA
I02372,Rabat        Morocco,rabat american school,,
050854,Culver City,star academy,90232,CA
443466,Houston,woodland acres chrstn school,77054,TX
541045,Caguas,escuela sec especial cimatec,00725,PR
